"Date","DFEDTARL","DFEDTARU","IORR","sdate","weekday"
"2/28/2017",25,50,50,2017-02-28,"Tuesday"
"3/1/2017",25,50,50,2017-03-01,"Wednesday"
"3/2/2017",25,50,50,2017-03-02,"Thursday"
"3/3/2017",25,50,50,2017-03-03,"Friday"
"3/6/2017",25,50,50,2017-03-06,"Monday"
"3/7/2017",25,50,50,2017-03-07,"Tuesday"
"3/8/2017",25,50,50,2017-03-08,"Wednesday"
"3/9/2017",25,50,50,2017-03-09,"Thursday"
"3/10/2017",25,50,50,2017-03-10,"Friday"
"3/13/2017",25,50,50,2017-03-13,"Monday"
"3/14/2017",25,50,50,2017-03-14,"Tuesday"
"3/15/2017",25,50,50,2017-03-15,"Wednesday"
"3/16/2017",25,50,50,2017-03-16,"Thursday"
"3/17/2017",25,50,50,2017-03-17,"Friday"
"3/20/2017",25,50,50,2017-03-20,"Monday"
"3/21/2017",25,50,50,2017-03-21,"Tuesday"
"3/22/2017",25,50,50,2017-03-22,"Wednesday"
"3/23/2017",25,50,50,2017-03-23,"Thursday"
"3/24/2017",25,50,50,2017-03-24,"Friday"
"3/27/2017",25,50,50,2017-03-27,"Monday"
"3/28/2017",25,50,50,2017-03-28,"Tuesday"
"3/29/2017",25,50,50,2017-03-29,"Wednesday"
"3/30/2017",25,50,50,2017-03-30,"Thursday"
"3/31/2017",25,50,50,2017-03-31,"Friday"
"4/3/2017",25,50,50,2017-04-03,"Monday"
"4/4/2017",25,50,50,2017-04-04,"Tuesday"
"4/5/2017",25,50,50,2017-04-05,"Wednesday"
"4/6/2017",25,50,50,2017-04-06,"Thursday"
"4/7/2017",25,50,50,2017-04-07,"Friday"
"4/10/2017",25,50,50,2017-04-10,"Monday"
"4/11/2017",25,50,50,2017-04-11,"Tuesday"
"4/12/2017",25,50,50,2017-04-12,"Wednesday"
"4/13/2017",25,50,50,2017-04-13,"Thursday"
"4/14/2017",25,50,50,2017-04-14,"Friday"
"4/17/2017",25,50,50,2017-04-17,"Monday"
"4/18/2017",25,50,50,2017-04-18,"Tuesday"
"4/19/2017",25,50,50,2017-04-19,"Wednesday"
"4/20/2017",25,50,50,2017-04-20,"Thursday"
"4/21/2017",25,50,50,2017-04-21,"Friday"
"4/24/2017",25,50,50,2017-04-24,"Monday"
"4/25/2017",25,50,50,2017-04-25,"Tuesday"
"4/26/2017",25,50,50,2017-04-26,"Wednesday"
"4/27/2017",25,50,50,2017-04-27,"Thursday"
"4/28/2017",25,50,50,2017-04-28,"Friday"
"5/1/2017",25,50,50,2017-05-01,"Monday"
"5/2/2017",25,50,50,2017-05-02,"Tuesday"
"5/3/2017",25,50,50,2017-05-03,"Wednesday"
"5/4/2017",25,50,50,2017-05-04,"Thursday"
"5/5/2017",25,50,50,2017-05-05,"Friday"
"5/8/2017",25,50,50,2017-05-08,"Monday"
"5/9/2017",25,50,50,2017-05-09,"Tuesday"
"5/10/2017",25,50,50,2017-05-10,"Wednesday"
"5/11/2017",25,50,50,2017-05-11,"Thursday"
"5/12/2017",25,50,50,2017-05-12,"Friday"
"5/15/2017",25,50,50,2017-05-15,"Monday"
"5/16/2017",25,50,50,2017-05-16,"Tuesday"
"5/17/2017",25,50,50,2017-05-17,"Wednesday"
"5/18/2017",25,50,50,2017-05-18,"Thursday"
"5/19/2017",25,50,50,2017-05-19,"Friday"
"5/22/2017",25,50,50,2017-05-22,"Monday"
"5/23/2017",25,50,50,2017-05-23,"Tuesday"
"5/24/2017",25,50,50,2017-05-24,"Wednesday"
"5/25/2017",25,50,50,2017-05-25,"Thursday"
"5/26/2017",25,50,50,2017-05-26,"Friday"
"5/29/2017",25,50,50,2017-05-29,"Monday"
"5/30/2017",25,50,50,2017-05-30,"Tuesday"
"5/31/2017",25,50,50,2017-05-31,"Wednesday"
"6/1/2017",25,50,50,2017-06-01,"Thursday"
"6/2/2017",25,50,50,2017-06-02,"Friday"
"6/5/2017",25,50,50,2017-06-05,"Monday"
"6/6/2017",25,50,50,2017-06-06,"Tuesday"
"6/7/2017",25,50,50,2017-06-07,"Wednesday"
"6/8/2017",25,50,50,2017-06-08,"Thursday"
"6/9/2017",25,50,50,2017-06-09,"Friday"
"6/12/2017",25,50,50,2017-06-12,"Monday"
"6/13/2017",25,50,50,2017-06-13,"Tuesday"
"6/14/2017",25,50,50,2017-06-14,"Wednesday"
"6/15/2017",25,50,50,2017-06-15,"Thursday"
"6/16/2017",25,50,50,2017-06-16,"Friday"
"6/19/2017",25,50,50,2017-06-19,"Monday"
"6/20/2017",25,50,50,2017-06-20,"Tuesday"
"6/21/2017",25,50,50,2017-06-21,"Wednesday"
"6/22/2017",25,50,50,2017-06-22,"Thursday"
"6/23/2017",25,50,50,2017-06-23,"Friday"
"6/26/2017",25,50,50,2017-06-26,"Monday"
"6/27/2017",25,50,50,2017-06-27,"Tuesday"
"6/28/2017",25,50,50,2017-06-28,"Wednesday"
"6/29/2017",25,50,50,2017-06-29,"Thursday"
"6/30/2017",25,50,50,2017-06-30,"Friday"
"7/3/2017",25,50,50,2017-07-03,"Monday"
"7/4/2017",25,50,50,2017-07-04,"Tuesday"
"7/5/2017",25,50,50,2017-07-05,"Wednesday"
"7/6/2017",25,50,50,2017-07-06,"Thursday"
"7/7/2017",25,50,50,2017-07-07,"Friday"
"7/10/2017",25,50,50,2017-07-10,"Monday"
"7/11/2017",25,50,50,2017-07-11,"Tuesday"
"7/12/2017",25,50,50,2017-07-12,"Wednesday"
"7/13/2017",25,50,50,2017-07-13,"Thursday"
"7/14/2017",25,50,50,2017-07-14,"Friday"
"7/17/2017",25,50,50,2017-07-17,"Monday"
"7/18/2017",25,50,50,2017-07-18,"Tuesday"
"7/19/2017",25,50,50,2017-07-19,"Wednesday"
"7/20/2017",25,50,50,2017-07-20,"Thursday"
"7/21/2017",25,50,50,2017-07-21,"Friday"
"7/24/2017",25,50,50,2017-07-24,"Monday"
"7/25/2017",25,50,50,2017-07-25,"Tuesday"
"7/26/2017",25,50,50,2017-07-26,"Wednesday"
"7/27/2017",25,50,50,2017-07-27,"Thursday"
"7/28/2017",25,50,50,2017-07-28,"Friday"
"7/31/2017",25,50,50,2017-07-31,"Monday"
"8/1/2017",25,50,50,2017-08-01,"Tuesday"
"8/2/2017",25,50,50,2017-08-02,"Wednesday"
"8/3/2017",25,50,50,2017-08-03,"Thursday"
"8/4/2017",25,50,50,2017-08-04,"Friday"
"8/7/2017",25,50,50,2017-08-07,"Monday"
"8/8/2017",25,50,50,2017-08-08,"Tuesday"
"8/9/2017",25,50,50,2017-08-09,"Wednesday"
"8/10/2017",25,50,50,2017-08-10,"Thursday"
"8/11/2017",25,50,50,2017-08-11,"Friday"
