Date,Reference,Rate,,,,,,dontknow,
10/11/2001,EFFR,2.42,,,,,,2.5,
10/12/2001,EFFR,2.39,,,,,,2.5,
10/15/2001,EFFR,2.51,,,,,,2.5,
10/16/2001,EFFR,2.47,,,,,,2.5,
10/17/2001,EFFR,2.51,,,,,,2.5,
10/18/2001,EFFR,2.5,,,,,,2.5,
10/19/2001,EFFR,2.47,,,,,,2.5,
10/22/2001,EFFR,2.52,,,,,,2.5,
10/23/2001,EFFR,2.48,,,,,,2.5,
10/24/2001,EFFR,2.53,,,,,,2.5,
10/25/2001,EFFR,2.54,,,,,,2.5,
10/26/2001,EFFR,2.51,,,,,,2.5,
10/29/2001,EFFR,2.55,,,,,,2.5,
10/30/2001,EFFR,2.55,,,,,,2.5,
10/31/2001,EFFR,2.66,,,,,,2.5,
11/1/2001,EFFR,2.61,,,,,,2.5,
11/2/2001,EFFR,2.43,,,,,,2.5,
11/5/2001,EFFR,2.45,,,,,,2.5,
11/6/2001,EFFR,2.13,,,,,,2,
11/7/2001,EFFR,2.04,,,,,,2,
11/8/2001,EFFR,2.03,,,,,,2,
11/9/2001,EFFR,1.98,,,,,,2,
11/13/2001,EFFR,2.1,,,,,,2,
11/14/2001,EFFR,2.16,,,,,,2,
11/15/2001,EFFR,2.22,,,,,,2,
11/16/2001,EFFR,1.98,,,,,,2,
11/19/2001,EFFR,2.01,,,,,,2,
11/20/2001,EFFR,1.97,,,,,,2,
11/21/2001,EFFR,1.93,,,,,,2,
11/23/2001,EFFR,1.88,,,,,,2,
11/26/2001,EFFR,2.04,,,,,,2,
11/27/2001,EFFR,2.01,,,,,,2,
11/28/2001,EFFR,2.04,,,,,,2,
11/29/2001,EFFR,2.09,,,,,,2,
11/30/2001,EFFR,2.06,,,,,,2,
12/3/2001,EFFR,2.05,,,,,,2,
12/4/2001,EFFR,1.93,,,,,,2,
12/5/2001,EFFR,1.89,,,,,,2,
12/6/2001,EFFR,1.87,,,,,,2,
12/7/2001,EFFR,1.92,,,,,,2,
12/10/2001,EFFR,1.9,,,,,,2,
12/11/2001,EFFR,1.8,,,,,,1.75,
12/12/2001,EFFR,1.81,,,,,,1.75,
12/13/2001,EFFR,1.86,,,,,,1.75,
12/14/2001,EFFR,1.88,,,,,,1.75,
12/17/2001,EFFR,1.93,,,,,,1.75,
12/18/2001,EFFR,1.71,,,,,,1.75,
