Date,DFEDTARL,DFEDTARU,IORR,Dater,SOFR,EFFR,RRPONTSYAWARD
9/1/2016,0.25,0.5,0.5,11/21/2016,NA,0.41,0.25
9/2/2016,0.25,0.5,0.5,11/22/2016,NA,0.41,0.25
9/3/2016,0.25,0.5,0.5,11/23/2016,NA,0.41,0.25
9/4/2016,0.25,0.5,0.5,11/25/2016,NA,0.41,0.25
9/5/2016,0.25,0.5,0.5,11/28/2016,NA,0.41,0.25
9/6/2016,0.25,0.5,0.5,11/29/2016,NA,0.41,0.25
9/7/2016,0.25,0.5,0.5,11/30/2016,NA,0.31,0.25
9/8/2016,0.25,0.5,0.5,12/1/2016,NA,0.41,0.25
9/9/2016,0.25,0.5,0.5,12/2/2016,NA,0.41,0.25
9/10/2016,0.25,0.5,0.5,12/5/2016,NA,0.41,0.25
9/11/2016,0.25,0.5,0.5,12/6/2016,NA,0.41,0.25
9/12/2016,0.25,0.5,0.5,12/7/2016,NA,0.41,0.25
9/13/2016,0.25,0.5,0.5,12/8/2016,NA,0.41,0.25
9/14/2016,0.25,0.5,0.5,12/9/2016,NA,0.41,0.25
9/15/2016,0.25,0.5,0.5,12/12/2016,NA,0.41,0.25
9/16/2016,0.25,0.5,0.5,12/13/2016,NA,0.41,0.25
9/17/2016,0.25,0.5,0.5,12/14/2016,NA,0.41,0.25
9/18/2016,0.25,0.5,0.5,12/15/2016,NA,0.66,0.5
9/19/2016,0.25,0.5,0.5,12/16/2016,NA,0.66,0.5
9/20/2016,0.25,0.5,0.5,12/19/2016,NA,0.66,0.5
9/21/2016,0.25,0.5,0.5,12/20/2016,NA,0.66,0.5
9/22/2016,0.25,0.5,0.5,12/21/2016,NA,0.66,0.5
9/23/2016,0.25,0.5,0.5,12/22/2016,NA,0.66,0.5
9/24/2016,0.25,0.5,0.5,12/23/2016,NA,0.66,0.5
9/25/2016,0.25,0.5,0.5,12/27/2016,NA,0.66,0.5
9/26/2016,0.25,0.5,0.5,12/28/2016,NA,0.66,0.5
9/27/2016,0.25,0.5,0.5,12/29/2016,NA,0.66,0.5
9/28/2016,0.25,0.5,0.5,12/30/2016,NA,0.55,0.5
9/29/2016,0.25,0.5,0.5,1/3/2017,NA,0.66,0.5
9/30/2016,0.25,0.5,0.5,1/4/2017,NA,0.66,0.5
10/1/2016,0.25,0.5,0.5,1/5/2017,NA,0.66,0.5
10/2/2016,0.25,0.5,0.5,1/6/2017,NA,0.66,0.5
10/3/2016,0.25,0.5,0.5,1/9/2017,NA,0.66,0.5
10/4/2016,0.25,0.5,0.5,1/10/2017,NA,0.66,0.5
10/5/2016,0.25,0.5,0.5,1/11/2017,NA,0.66,0.5
10/6/2016,0.25,0.5,0.5,1/12/2017,NA,0.66,0.5
10/7/2016,0.25,0.5,0.5,1/13/2017,NA,0.66,0.5
10/8/2016,0.25,0.5,0.5,1/17/2017,NA,0.66,0.5
10/9/2016,0.25,0.5,0.5,1/18/2017,NA,0.66,0.5
10/10/2016,0.25,0.5,0.5,1/19/2017,NA,0.66,0.5
10/11/2016,0.25,0.5,0.5,1/20/2017,NA,0.66,0.5
10/12/2016,0.25,0.5,0.5,1/23/2017,NA,0.66,0.5
10/13/2016,0.25,0.5,0.5,1/24/2017,NA,0.66,0.5
10/14/2016,0.25,0.5,0.5,1/25/2017,NA,0.66,0.5
10/15/2016,0.25,0.5,0.5,1/26/2017,NA,0.66,0.5
10/16/2016,0.25,0.5,0.5,1/27/2017,NA,0.66,0.5
10/17/2016,0.25,0.5,0.5,1/30/2017,NA,0.66,0.5
10/18/2016,0.25,0.5,0.5,1/31/2017,NA,0.56,0.5
10/19/2016,0.25,0.5,0.5,2/1/2017,NA,0.66,0.5
10/20/2016,0.25,0.5,0.5,2/2/2017,NA,0.66,0.5
10/21/2016,0.25,0.5,0.5,2/3/2017,NA,0.66,0.5
10/22/2016,0.25,0.5,0.5,2/6/2017,NA,0.66,0.5
10/23/2016,0.25,0.5,0.5,2/7/2017,NA,0.66,0.5
10/24/2016,0.25,0.5,0.5,2/8/2017,NA,0.66,0.5
10/25/2016,0.25,0.5,0.5,2/9/2017,NA,0.66,0.5
10/26/2016,0.25,0.5,0.5,2/10/2017,NA,0.66,0.5
10/27/2016,0.25,0.5,0.5,2/13/2017,NA,0.66,0.5
10/28/2016,0.25,0.5,0.5,2/14/2017,NA,0.66,0.5
10/29/2016,0.25,0.5,0.5,2/15/2017,NA,0.66,0.5
10/30/2016,0.25,0.5,0.5,2/16/2017,NA,0.66,0.5
10/31/2016,0.25,0.5,0.5,2/17/2017,NA,0.66,0.5
11/1/2016,0.25,0.5,0.5,2/21/2017,NA,0.66,0.5
11/2/2016,0.25,0.5,0.5,2/22/2017,NA,0.66,0.5
11/3/2016,0.25,0.5,0.5,2/23/2017,NA,0.66,0.5
11/4/2016,0.25,0.5,0.5,2/24/2017,NA,0.66,0.5
11/5/2016,0.25,0.5,0.5,2/27/2017,NA,0.66,0.5
11/6/2016,0.25,0.5,0.5,2/28/2017,NA,0.57,0.5
11/7/2016,0.25,0.5,0.5,3/1/2017,NA,0.66,0.5
11/8/2016,0.25,0.5,0.5,3/2/2017,NA,0.66,0.5
11/9/2016,0.25,0.5,0.5,3/3/2017,NA,0.66,0.5
11/10/2016,0.25,0.5,0.5,3/6/2017,NA,0.66,0.5
11/11/2016,0.25,0.5,0.5,3/7/2017,NA,0.66,0.5
11/12/2016,0.25,0.5,0.5,3/8/2017,NA,0.66,0.5
11/13/2016,0.25,0.5,0.5,3/9/2017,NA,0.66,0.5
11/14/2016,0.25,0.5,0.5,3/10/2017,NA,0.66,0.5
11/15/2016,0.25,0.5,0.5,3/13/2017,NA,0.66,0.5
11/16/2016,0.25,0.5,0.5,3/14/2017,NA,0.66,0.5
11/17/2016,0.25,0.5,0.5,3/15/2017,NA,0.66,0.5
11/18/2016,0.25,0.5,0.5,3/16/2017,NA,0.91,0.75
11/19/2016,0.25,0.5,0.5,3/17/2017,NA,0.91,0.75
11/20/2016,0.25,0.5,0.5,3/20/2017,NA,0.91,0.75
11/21/2016,0.25,0.5,0.5,3/21/2017,NA,0.91,0.75
11/22/2016,0.25,0.5,0.5,3/22/2017,NA,0.91,0.75
11/23/2016,0.25,0.5,0.5,3/23/2017,NA,0.91,0.75
11/24/2016,0.25,0.5,0.5,3/24/2017,NA,0.91,0.75
11/25/2016,0.25,0.5,0.5,3/27/2017,NA,0.91,0.75
11/26/2016,0.25,0.5,0.5,3/28/2017,NA,0.91,0.75
11/27/2016,0.25,0.5,0.5,3/29/2017,NA,0.91,0.75
11/28/2016,0.25,0.5,0.5,3/30/2017,NA,0.91,0.75
11/29/2016,0.25,0.5,0.5,3/31/2017,NA,0.82,0.75
11/30/2016,0.25,0.5,0.5,4/3/2017,NA,0.91,0.75
12/1/2016,0.25,0.5,0.5,4/4/2017,NA,0.91,0.75
12/2/2016,0.25,0.5,0.5,4/5/2017,NA,0.91,0.75
12/3/2016,0.25,0.5,0.5,4/6/2017,NA,0.91,0.75
12/4/2016,0.25,0.5,0.5,4/7/2017,NA,0.91,0.75
12/5/2016,0.25,0.5,0.5,4/10/2017,NA,0.91,0.75
12/6/2016,0.25,0.5,0.5,4/11/2017,NA,0.91,0.75
12/7/2016,0.25,0.5,0.5,4/12/2017,NA,0.91,0.75
12/8/2016,0.25,0.5,0.5,4/13/2017,NA,0.91,#N/A
12/9/2016,0.25,0.5,0.5,4/14/2017,NA,0.91,#N/A
12/10/2016,0.25,0.5,0.5,4/17/2017,NA,0.91,0.75
12/11/2016,0.25,0.5,0.5,4/18/2017,NA,0.91,0.75
